term,estimate,SE,p,model
(Intercept),6.8567,0.0233,0,EF
tt,0.1861,0.0078,0,EF
rew,0.0151,0.008,0.0605,EF
EF_z,0.0056,0.0219,0.7979,EF
blk,-0.1088,0.0055,0,EF
tt:rew,-0.0197,0.0111,0.0752,EF
tt:EF_z,0.0129,0.0079,0.1006,EF
rew:EF_z,0.0158,0.0081,0.0514,EF
tt:rew:EF_z,-0.0177,0.0111,0.1109,EF
(Intercept),6.8594,0.0237,0,NFC
tt,0.1873,0.008,0,NFC
rew,0.0144,0.0082,0.08,NFC
NFC_z,0.0072,0.0223,0.7482,NFC
blk,-0.1099,0.0057,0,NFC
tt:rew,-0.0193,0.0113,0.0885,NFC
tt:NFC_z,-0.016,0.0081,0.0477,NFC
rew:NFC_z,-0.0368,0.0083,0,NFC
tt:rew:NFC_z,0.0354,0.0115,0.002,NFC
